GEOID,MHI_2018
17031830800,72500
17031830900,102250
17031831000,159020
17031831100,60745
17031831200,37880
17031831300,39896
17031831400,33456
17031831500,58307
17031831600,40262
17031831700,54737
17031831800,53529
17031831900,109643
17031832000,115192
17031832100,72778
17031832200,106840
17031832300,104954
17031832400,103750
17031832500,132222
17031832600,148616
17031832900,55284
17031833000,141378
17031833100,114007
17031833300,52500
17031833900,30417
17031834000,30806
17031834200,47727
17031834300,42766
17031834400,49091
17031834500,31362
17031834600,24500
17031834700,22104
17031834800,21101
17031834900,19676
17031835000,26498
17031835100,39398
17031835200,47581
17031835500,23051
17031835600,23918
17031835700,45885
17031835800,49239
17031835900,19015
17031836000,65667
17031836100,26102
17031836200,110357
17031836300,49167
17031836400,30616
17031836500,29972
17031836600,43571
17031836700,28365
17031836800,13736
17031836900,22109
17031837000,26538
17031837100,25556
17031837300,27406
17031837400,40417
17031837800,60417
17031838000,22951
17031838100,16953
17031838200,42313
17031838300,58542
17031838600,17652
17031838700,25405
17031838800,25332
17031839000,102188
17031839100,94667
17031839200,33295
17031839500,19375
17031839600,33598
17031839700,50982
17031839800,50595
17031839900,62536
17031840000,80000
17031840100,46509
17031840200,57308
17031840300,48622
17031840400,44861
17031840700,37966
17031840800,31752
17031841000,97188
17031841100,30676
17031841200,44336
17031841300,50039
17031841400,26439
17031841500,28807
17031841600,21974
17031841700,22444
17031841800,37328
17031841900,116377
17031842000,91548
17031842100,35309
17031842200,99440
17031842300,132794
17031842400,39097
17031842500,9787
17031842600,62813
17031842800,34327
17031842900,19429
17031843000,21198
17031843100,20417
17031843200,47083
17031843300,47321
17031843400,25078
17031843500,27891
17031843600,39602
17031843700,112386
17031843800,34375
17031843900,34381
17031980000,-
17031980100,-
17031990000,-
