GEOID,work_travel_time_2017
17031836500,22520
17031836600,38085
17031836700,25640
17031836800,13325
17031836900,13325
17031837000,19980
17031837100,20410
17031837300,21740
17031837400,31010
17031837800,35635
17031838000,28965
17031838100,25415
17031838200,17145
17031838300,17750
17031838600,10465
17031838700,46820
17031838800,33510
17031839000,162055
17031839100,97885
17031839200,39330
17031839500,13415
17031839600,17700
17031839700,68560
17031839800,37835
17031839900,57695
17031840000,35630
17031840100,44210
17031840200,31475
17031840300,55125
17031840400,39620
17031840700,47365
17031840800,33920
17031841000,14490
17031841100,74295
17031841200,69870
17031841300,67415
17031841400,17330
17031841500,31395
17031841600,5760
17031841700,15810
17031841800,30680
17031841900,76735
17031842000,15785
17031842100,86345
17031842200,51305
17031842300,56695
17031842400,50285
17031842500,12605
17031842600,65895
17031842800,87370
17031842900,22530
17031843000,27510
17031843100,19260
17031843200,37455
17031843300,25820
17031843400,20490
17031843500,16600
17031843600,34600
17031843700,45240
17031843800,18525
17031843900,40200
17031980000,-
17031980100,-
17031990000,-
