GEOID,perc_rental_housing_2018
17031730600,28.2442748
17031730700,20.5841446
17031740100,14.7441457
17031740200,5.848564
17031740300,8.6330935
17031740400,26.9722814
17031750100,29.9132948
17031750200,30.9220986
17031750300,17.9184549
17031750400,20.4219409
17031750500,38.926499
17031750600,30.3102625
17031760801,81.4849624
17031760802,24.4879786
17031760803,61.4620298
17031770201,48.7410072
17031770202,5.4800937
17031770300,30.8238636
17031770400,42.8571429
17031770500,26.8493151
17031770601,7.9923882
17031770602,55.848329
17031770700,51.9634703
17031770800,36.3452802
17031770901,10.1364522
17031770902,24.0740741
17031800100,3.6571429
17031800200,7.1216617
17031800300,15.5865463
17031800400,8.5483871
17031800500,10
17031800600,9.6945551
17031800700,3.1553398
17031800800,13.0745659
17031800900,13.4948097
17031801000,22.2164682
17031801100,11.8412895
17031801200,3.0864198
17031801300,21.6281896
17031801400,7.3076923
17031801500,20.9958506
17031801601,19.8873239
17031801603,57.6947435
17031801605,4.6480144
17031801606,11.971269
17031801607,31.0144928
17031801608,21.1291999
17031801701,5.6588521
17031801702,11.3542283
17031801800,11.3191489
17031801901,16.4113786
17031801902,9.0669014
17031802002,8.0900243
17031802003,15.1724138
17031802004,34.1394026
17031802100,13.9372822
17031802200,14.6043548
17031802300,37.4390784
17031802402,34.4942748
17031802403,23.8609113
17031802404,43.8218924
17031802503,29.5047857
17031802504,14.2650602
17031802505,53.9729501
17031802506,42.1518987
17031802605,20.4619271
17031802607,11.691023
17031802608,11.8644068
17031802609,52.553542
17031802610,4.4094488
17031802701,19.9183303
17031802702,19.2350956
17031802801,13.1762185
17031802802,9.1027875
17031802900,5.5555556
17031803005,35.3974122
17031803007,15.2304609
17031803008,10.0779844
17031803010,10.1609658
17031803012,43.0868167
17031803013,20.1631174
17031803014,31.6875461
17031803015,18.8748686
17031803016,60.0877193
17031803017,43.0018762
17031803100,7.6167076
17031803200,15.1372213
17031803300,47.8245105
17031803400,15.5017921
17031803500,19.7953737
17031803603,10.3492885
17031803604,31.9241192
17031803605,21.7982622
17031803606,69.9567723
17031803607,7.1505959
17031803608,45.2088452
17031803610,38.5217664
17031803611,32.6460481
17031803612,74.1856678
17031803701,32.4383164
17031803702,23.8222903
17031803800,14.9829739
