GEOID,perc_below_poverty_2017
17031820000,7
17031820101,2.5
17031820103,9
17031820104,12.5
17031820201,3.9
17031820202,9.7
17031820300,17.1
17031820400,22.1
17031820501,11.2
17031820502,8.8
17031820603,17
17031820604,18.3
17031820605,27.9
17031820606,9
17031820700,7.1
17031820800,11.5
17031820901,13.2
17031820902,8.8
17031821001,8.2
17031821002,11.5
17031821101,11.7
17031821102,10.7
17031821200,20.7
17031821300,13.6
17031821401,18.3
17031821402,14.1
17031821500,40.9
17031821600,8.7
17031821700,2.9
17031821800,7.1
17031821900,9.7
17031822000,13.1
17031822101,7.2
17031822102,12.7
17031822200,2
17031822301,14.9
17031822302,13.7
17031822400,29.7
17031822500,5.7
17031822601,4.5
17031822602,11.1
17031822701,11.3
17031822702,17.1
17031822801,10.3
17031822802,4.4
17031822900,9
17031823001,19.5
17031823002,19.8
17031823101,12.1
17031823102,7.1
17031823200,7.5
17031823302,10.2
17031823303,13
17031823304,7.8
17031823400,17.2
17031823500,18.8
17031823602,6.4
17031823603,40.2
17031823604,3.9
17031823605,13.9
17031823702,16.8
17031823703,26.5
17031823704,4
17031823705,15.2
17031823801,4.5
17031823803,10.1
17031823805,12.5
17031823806,12.4
17031823901,1.9
17031823903,7
17031823904,2
17031824003,4.7
17031824004,7.5
17031824005,5.9
17031824006,7.6
17031824105,5.6
17031824106,2.2
17031824107,3.4
17031824108,11.2
17031824113,2.3
17031824114,2.8
17031824115,11.7
17031824116,10.6
17031824117,2.7
17031824119,3.4
17031824120,2.5
17031824121,8.5
17031824122,6.7
17031824123,12.4
17031824300,37.5
17031824400,18.4
17031824503,4.8
17031824505,4.6
17031824506,3.8
17031824507,15.4
17031824601,6
17031824602,12.7
17031824701,6.4
17031824702,10.5
17031824800,28.3
17031824900,33.9
17031825000,13.7
17031825200,3
17031825302,9.1
17031825303,13.9
17031825304,6.2
17031825400,10.9
17031825501,19.7
17031825503,10.8
17031825504,2.9
17031825505,12.9
17031825600,22.8
17031825700,23.4
17031825801,34.3
17031825802,11.1
17031825803,19.7
17031825900,24.8
17031826000,25.2
17031826100,22.2
17031826201,16
