GEOID,perc_insured_2016
17031828702,89.9
17031828801,94.9
17031828802,91.6
17031828900,79.3
17031829000,83.6
17031829100,85.5
17031829200,81.3
17031829301,91.4
17031829302,85
17031829401,85.7
17031829402,93.1
17031829500,84.1
17031829600,91.4
17031829700,85.1
17031829800,94.8
17031829901,90.4
17031829902,92.8
17031830001,93
17031830003,87
17031830004,92.3
17031830005,96.2
17031830006,94.8
17031830007,93.4
17031830008,89.2
17031830100,88.1
17031830201,81
17031830202,89
17031830300,83.1
17031830400,94.2
17031830500,67.5
17031830600,75.7
17031830700,82.3
17031830800,88.9
17031830900,94.5
17031831000,96.3
17031831100,77.1
17031831200,68.5
17031831300,81.7
17031831400,83.2
17031831500,69.4
17031831600,84.4
17031831700,84
17031831800,87.7
17031831900,96.5
17031832000,88.5
17031832100,84.6
17031832200,91.6
17031832300,96.8
17031832400,87.5
17031832500,95.7
17031832600,95.7
17031832900,98.3
17031833000,97.9
17031833100,97.4
17031833300,96.6
17031833900,82.7
17031834000,86.9
17031834200,87.4
17031834300,88.4
17031834400,91.7
17031834500,90.8
17031834600,80.4
17031834700,84.4
17031834800,85.8
17031834900,83.8
17031835000,78.1
17031835100,69.2
17031835200,87.1
17031835500,82.6
17031835600,88.3
17031835700,81.8
17031835800,89.3
17031835900,87.1
17031836000,90.8
17031836100,92.6
17031836200,94.1
17031836300,86
17031836400,94.6
17031836500,86
17031836600,87.9
17031836700,88.7
17031836800,88.7
17031836900,80.4
17031837000,89.4
17031837100,80.4
17031837300,84.5
17031837400,77.2
17031837800,89.9
17031838000,81
17031838100,87.3
17031838200,88.6
17031838300,91.8
17031838600,89.7
17031838700,82.6
17031838800,80.2
17031839000,97.5
17031839100,94.3
17031839200,84.2
17031839500,93
17031839600,89.6
17031839700,85.3
17031839800,84.5
17031839900,90
17031840000,93.9
17031840100,75.5
17031840200,84.7
17031840300,81
17031840400,81.5
17031840700,67.8
17031840800,70.4
17031841000,89.5
17031841100,76.8
17031841200,76.4
17031841300,76.1
17031841400,85.2
17031841500,84.8
17031841600,84.2
17031841700,81.8
17031841800,87.7
17031841900,95
17031842000,90.5
17031842100,82.4
17031842200,95.9
17031842300,91.9
17031842400,84.9
17031842500,84.1
17031842600,85.3
17031842800,70.6
17031842900,81.8
17031843000,86
17031843100,85
17031843200,80.6
17031843300,81.7
17031843400,80.3
17031843500,67.1
17031843600,85.7
17031843700,93
17031843800,79.9
17031843900,86.9
17031980000,-
17031980100,-
17031990000,-
