GEOID,YEAR,house_value
"Census Tract 2517, Cook County, Illinois!!Estimate",2016,110300
"Census Tract 2518, Cook County, Illinois!!Estimate",2016,171400
"Census Tract 2519, Cook County, Illinois!!Estimate",2016,121800
"Census Tract 2520, Cook County, Illinois!!Estimate",2016,209600
"Census Tract 2521.01, Cook County, Illinois!!Estimate",2016,177100
"Census Tract 2521.02, Cook County, Illinois!!Estimate",2016,157500
"Census Tract 2522.01, Cook County, Illinois!!Estimate",2016,96800
"Census Tract 2522.02, Cook County, Illinois!!Estimate",2016,161700
"Census Tract 2601, Cook County, Illinois!!Estimate",2016,229400
"Census Tract 2602, Cook County, Illinois!!Estimate",2016,137500
"Census Tract 2603, Cook County, Illinois!!Estimate",2016,104600
"Census Tract 2604, Cook County, Illinois!!Estimate",2016,162500
"Census Tract 2605, Cook County, Illinois!!Estimate",2016,138800
"Census Tract 2606, Cook County, Illinois!!Estimate",2016,138600
"Census Tract 2607, Cook County, Illinois!!Estimate",2016,155500
"Census Tract 2608, Cook County, Illinois!!Estimate",2016,167900
"Census Tract 2609, Cook County, Illinois!!Estimate",2016,143800
"Census Tract 2610, Cook County, Illinois!!Estimate",2016,119800
"Census Tract 2705, Cook County, Illinois!!Estimate",2016,181000
"Census Tract 2712, Cook County, Illinois!!Estimate",2016,120200
"Census Tract 2713, Cook County, Illinois!!Estimate",2016,136800
"Census Tract 2714, Cook County, Illinois!!Estimate",2016,148900
"Census Tract 2715, Cook County, Illinois!!Estimate",2016,202000
"Census Tract 2718, Cook County, Illinois!!Estimate",2016,180800
"Census Tract 2801, Cook County, Illinois!!Estimate",2016,360500
"Census Tract 2808, Cook County, Illinois!!Estimate",2016,263900
"Census Tract 2809, Cook County, Illinois!!Estimate",2016,220500
"Census Tract 2819, Cook County, Illinois!!Estimate",2016,308900
"Census Tract 2827, Cook County, Illinois!!Estimate",2016,197400
"Census Tract 2828, Cook County, Illinois!!Estimate",2016,200000
"Census Tract 2831, Cook County, Illinois!!Estimate",2016,392700
"Census Tract 2832, Cook County, Illinois!!Estimate",2016,339000
"Census Tract 2838, Cook County, Illinois!!Estimate",2016,265000
"Census Tract 2909, Cook County, Illinois!!Estimate",2016,116100
"Census Tract 2912, Cook County, Illinois!!Estimate",2016,146300
"Census Tract 2916, Cook County, Illinois!!Estimate",2016,238000
"Census Tract 2922, Cook County, Illinois!!Estimate",2016,161100
"Census Tract 2924, Cook County, Illinois!!Estimate",2016,124500
"Census Tract 2925, Cook County, Illinois!!Estimate",2016,154300
"Census Tract 3005, Cook County, Illinois!!Estimate",2016,165100
"Census Tract 3006, Cook County, Illinois!!Estimate",2016,160900
"Census Tract 3007, Cook County, Illinois!!Estimate",2016,163400
"Census Tract 3008, Cook County, Illinois!!Estimate",2016,151900
"Census Tract 3009, Cook County, Illinois!!Estimate",2016,167200
"Census Tract 3011, Cook County, Illinois!!Estimate",2016,155100
"Census Tract 3012, Cook County, Illinois!!Estimate",2016,158300
"Census Tract 3016, Cook County, Illinois!!Estimate",2016,120200
"Census Tract 3017.01, Cook County, Illinois!!Estimate",2016,157100
"Census Tract 3017.02, Cook County, Illinois!!Estimate",2016,141400
"Census Tract 3018.01, Cook County, Illinois!!Estimate",2016,121700
"Census Tract 3018.02, Cook County, Illinois!!Estimate",2016,133800
"Census Tract 3018.03, Cook County, Illinois!!Estimate",2016,154800
"Census Tract 3102, Cook County, Illinois!!Estimate",2016,247900
"Census Tract 3103, Cook County, Illinois!!Estimate",2016,291400
"Census Tract 3104, Cook County, Illinois!!Estimate",2016,260200
"Census Tract 3105, Cook County, Illinois!!Estimate",2016,242000
"Census Tract 3106, Cook County, Illinois!!Estimate",2016,256400
"Census Tract 3107, Cook County, Illinois!!Estimate",2016,210500
"Census Tract 3108, Cook County, Illinois!!Estimate",2016,252600
"Census Tract 3109, Cook County, Illinois!!Estimate",2016,177200
"Census Tract 3201, Cook County, Illinois!!Estimate",2016,463000
"Census Tract 3204, Cook County, Illinois!!Estimate",2016,600000
"Census Tract 3206, Cook County, Illinois!!Estimate",2016,398200
"Census Tract 3301, Cook County, Illinois!!Estimate",2016,373800
"Census Tract 3302, Cook County, Illinois!!Estimate",2016,430300
"Census Tract 3403, Cook County, Illinois!!Estimate",2016,330800
"Census Tract 3404, Cook County, Illinois!!Estimate",2016,215100
"Census Tract 3405, Cook County, Illinois!!Estimate",2016,275500
"Census Tract 3510, Cook County, Illinois!!Estimate",2016,366700
"Census Tract 3511, Cook County, Illinois!!Estimate",2016,216300
"Census Tract 3514, Cook County, Illinois!!Estimate",2016,408700
"Census Tract 3515, Cook County, Illinois!!Estimate",2016,240600
"Census Tract 3602, Cook County, Illinois!!Estimate",2016,235000
"Census Tract 3801, Cook County, Illinois!!Estimate",2016,236500
"Census Tract 3802, Cook County, Illinois!!Estimate",2016,179900
"Census Tract 3807, Cook County, Illinois!!Estimate",2016,144500
"Census Tract 3812, Cook County, Illinois!!Estimate",2016,233200
"Census Tract 3814, Cook County, Illinois!!Estimate",2016,117200
"Census Tract 3818, Cook County, Illinois!!Estimate",2016,170800
"Census Tract 3819, Cook County, Illinois!!Estimate",2016,186400
"Census Tract 3901, Cook County, Illinois!!Estimate",2016,402800
"Census Tract 3902, Cook County, Illinois!!Estimate",2016,251700
"Census Tract 3903, Cook County, Illinois!!Estimate",2016,243100
"Census Tract 3904, Cook County, Illinois!!Estimate",2016,199400
"Census Tract 3905, Cook County, Illinois!!Estimate",2016,568200
"Census Tract 3906, Cook County, Illinois!!Estimate",2016,489600
"Census Tract 3907, Cook County, Illinois!!Estimate",2016,149600
"Census Tract 4003, Cook County, Illinois!!Estimate",2016,120500
"Census Tract 4004, Cook County, Illinois!!Estimate",2016,95200
"Census Tract 4005, Cook County, Illinois!!Estimate",2016,166800
"Census Tract 4008, Cook County, Illinois!!Estimate",2016,181500
"Census Tract 4101, Cook County, Illinois!!Estimate",2016,189100
"Census Tract 4102, Cook County, Illinois!!Estimate",2016,292900
"Census Tract 4105, Cook County, Illinois!!Estimate",2016,309900
"Census Tract 4106, Cook County, Illinois!!Estimate",2016,253600
"Census Tract 4107, Cook County, Illinois!!Estimate",2016,270500
"Census Tract 4108, Cook County, Illinois!!Estimate",2016,198900
"Census Tract 4109, Cook County, Illinois!!Estimate",2016,236400
"Census Tract 4110, Cook County, Illinois!!Estimate",2016,167400
"Census Tract 4111, Cook County, Illinois!!Estimate",2016,414000
"Census Tract 4112, Cook County, Illinois!!Estimate",2016,533700
"Census Tract 4201, Cook County, Illinois!!Estimate",2016,245000
"Census Tract 4202, Cook County, Illinois!!Estimate",2016,152700
"Census Tract 4203, Cook County, Illinois!!Estimate",2016,173300
"Census Tract 4204, Cook County, Illinois!!Estimate",2016,206000
"Census Tract 4205, Cook County, Illinois!!Estimate",2016,138500
"Census Tract 4206, Cook County, Illinois!!Estimate",2016,136800
"Census Tract 4207, Cook County, Illinois!!Estimate",2016,76500
