,census_tract,EDU_2016
1134,8260,15.2
1135,8261,27.2
1136,8262.01,52.6
1137,8262.02,42.2
1138,8263.01,26.2
1139,8263.03,20.8
1140,8263.04,34.5
1141,8264.01,35.4
1142,8264.02,29.2
1143,8265,28.5
1144,8266,19.4
1145,8267,25.2
1146,8268,19.2
1147,8269.01,16.3
1148,8269.02,37.7
1149,8270,17.9
1150,8271,26.6
1151,8272,21.1
1152,8273,14.8
1153,8274,25.4
1154,8275,16.3
1155,8276,9.8
1156,8277,22.4
1157,8278.01,26.4
1158,8278.02,26.7
1159,8278.04,25.6
1160,8278.05,33.2
1161,8279.01,48.8
1162,8279.02,18.9
1163,8280,27.1
1164,8281,35.8
1165,8282.01,30.6
1166,8282.02,30
1167,8283,26.2
1168,8284.01,27.2
1169,8284.02,24
1170,8285.03,11.4
1171,8285.04,24.7
1172,8285.05,23.1
1173,8285.06,40.5
1174,8286.01,25.1
1175,8286.02,22.8
1176,8287.01,17.8
1177,8287.02,36.8
1178,8288.01,22.7
1179,8288.02,30.6
1180,8289,20.8
1181,8290,8.4
1182,8291,14.2
1183,8292,19.6
1184,8293.01,21
1185,8293.02,22.1
1186,8294.01,27.4
1187,8294.02,25.7
1188,8295,38.2
1189,8296,14.7
1190,8297,18.6
1191,8298,26.3
1192,8299.01,29.4
1193,8299.02,22.5
1194,8300.01,19.5
1195,8300.03,30.3
1196,8300.04,35.9
1197,8300.05,26.6
1198,8300.06,27.9
1199,8300.07,30.4
1200,8300.08,30.3
1201,8301,20.8
1202,8302.01,35.2
1203,8302.02,10.9
1204,8303,37.4
1205,8304,21.4
1206,8305,9.3
1207,8306,31.2
1208,8307,45.6
1209,8308,66.5
1210,8309,44.9
1211,8310,43.6
1212,8311,28.5
1213,8312,23.1
1214,8313,15.4
1215,8314,22.4
1216,8315,31.5
1217,8316,30.3
1218,8317,38.9
1219,8318,47.8
1220,8319,43.8
1221,8320,76
1222,8321,72.4
1223,8322,33
1224,8323,40.6
1225,8324,34.2
1226,8325,56.9
1227,8326,45.7
1228,8329,88.6
1229,8330,55.5
1230,8331,46.6
1231,8333,88.4
1232,8339,25.6
1233,8340,23.8
1234,8342,26
1235,8343,30.4
1236,8344,25.5
1237,8345,26.7
1238,8346,20.4
1239,8347,15
1240,8348,10.7
1241,8349,15.6
1242,8350,6.5
1243,8351,19.5
1244,8352,18.5
1245,8355,26.9
1246,8356,15.3
1247,8357,14.1
1248,8358,15.9
1249,8359,35.4
1250,8360,28.3
1251,8361,32.1
1252,8362,97.8
1253,8363,57.4
1254,8364,20.4
1255,8365,29.4
1256,8366,31.3
1257,8367,13.8
1258,8368,9.2
1259,8369,24
1260,8370,11.4
1261,8371,36.2
1262,8373,12.7
1263,8374,10.5
1264,8378,21.7
1265,8380,38.8
1266,8381,73.1
1267,8382,81.5
1268,8383,59.1
1269,8386,25.3
1270,8387,12.3
1271,8388,8.8
1272,8390,80.3
1273,8391,84.3
1274,8392,60.3
1275,8395,80.8
1276,8396,30.1
1277,8397,46.9
1278,8398,51.5
1279,8399,37.1
1280,8400,44.4
1281,8401,27.6
1282,8402,38.9
1283,8403,34.5
1284,8404,33.4
1285,8407,15.9
1286,8408,21.5
1287,8410,41
1288,8411,24.9
1289,8412,21.2
1290,8413,17.2
1291,8414,5.5
1292,8415,12.8
1293,8416,7.7
1294,8417,17.5
1295,8418,22.3
1296,8419,89.8
1297,8420,95.8
1298,8421,6.8
1299,8422,78.7
1300,8423,59.5
1301,8424,34.5
1302,8425,19.4
1303,8426,24.6
1304,8428,11
1305,8429,9.8
1306,8430,21.3
1307,8431,14.1
1308,8432,29.2
1309,8433,44.1
1310,8434,26
1311,8435,30.1
1312,8436,21.5
1313,8437,26.6
1314,8438,12.6
1315,8439,40
1316,9800,-
1317,9801,-
1318,9900,-
