GEOID,perc_college_grad_2017
17031835100,3.4
17031835200,9.8
17031835500,6.5
17031835600,9
17031835700,14.8
17031835800,20.4
17031835900,9.1
17031836000,16
17031836100,11.8
17031836200,17.9
17031836300,22.1
17031836400,19
17031836500,12.6
17031836600,23.9
17031836700,11.7
17031836800,6.1
17031836900,10.1
17031837000,13.8
17031837100,13.9
17031837300,9
17031837400,9.2
17031837800,29
17031838000,23.1
17031838100,16.8
17031838200,40
17031838300,32.5
17031838600,0.5
17031838700,5.1
17031838800,4.2
17031839000,38.5
17031839100,39.2
17031839200,20.5
17031839500,27.3
17031839600,26.5
17031839700,27.5
17031839800,20.1
17031839900,20.9
17031840000,23
17031840100,16.3
17031840200,20.9
17031840300,12
17031840400,20.4
17031840700,7.7
17031840800,5
17031841000,24.3
17031841100,14.6
17031841200,17.7
17031841300,20.2
17031841400,12.2
17031841500,7.5
17031841600,9
17031841700,5.3
17031841800,8.1
17031841900,36.7
17031842000,17.9
17031842100,7.9
17031842200,47.9
17031842300,54.2
17031842400,19.7
17031842500,6.5
17031842600,12.8
17031842800,4.6
17031842900,10.2
17031843000,6.8
17031843100,10
17031843200,18.4
17031843300,10.6
17031843400,4.8
17031843500,2.1
17031843600,25.5
17031843700,29.3
17031843800,5.1
17031843900,23.2
17031980000,
17031980100,
17031990000,
