PERMIT#,PERMIT_TYPE,REVIEW_TYPE,ISSUE_DATE,STREET_NUMBER,STREET DIRECTION,STREET_NAME,SUFFIX,COMMUNITY_AREA,CENSUS_TRACT,WARD
100839287,PERMIT - RENOVATION/ALTERATION,SELF CERT,10/1/19,125,S,WACKER,DR,32,839100,42
100839300,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/4/19,12258,S,NORMAL,AVE,53,530501,34
100839301,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/6/19,322,E,87TH,ST,44,440300,6
100839303,PERMIT - ELECTRIC WIRING,FIRE PROTECTION SYSTEM,9/10/19,1306,S,MICHIGAN,AVE,33,330100,3
100839305,PERMIT - RENOVATION/ALTERATION,SELF CERT,10/1/19,626,W,JACKSON,BLVD,28,281900,42
100839306,PERMIT - ELECTRIC WIRING,FIRE PROTECTION SYSTEM,9/10/19,303,W,INSTITUTE,PL,8,81800,27
100839308,PERMIT - ELECTRIC WIRING,FIRE PROTECTION SYSTEM,9/10/19,1643,W,BRYN MAWR,AVE,77,30900,40
100839309,PERMIT - ELECTRIC WIRING,FIRE PROTECTION SYSTEM,9/10/19,8430,W,BRYN MAWR,AVE,76,760801,41
100839310,PERMIT - ELECTRIC WIRING,FIRE PROTECTION SYSTEM,9/10/19,8430,W,BRYN MAWR,AVE,76,760801,41
100839362,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/5/19,365,E,70TH,ST,69,690400,6
100839312,PERMIT - RENOVATION/ALTERATION,SELF CERT,10/7/19,1414,W,BLACKHAWK,ST,24,241600,2
100839313,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/4/19,3138,N,LAWNDALE,AVE,21,210501,30
100839314,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/5/19,2136,W,108TH,PL,75,750200,19
100839315,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/5/19,1750,N,ARTESIAN,AVE,24,240600,1
100839316,PERMIT - ELECTRIC WIRING,FIRE PROTECTION SYSTEM,9/10/19,1965,N,MILWAUKEE,AVE,22,832400,1
100839318,PERMIT - ELECTRIC WIRING,FIRE PROTECTION SYSTEM,9/10/19,3443,W,ADDISON,ST,21,831100,35
100839320,PERMIT - ELECTRIC WIRING,FIRE PROTECTION SYSTEM,10/1/19,330,N,WABASH,AVE,,,
100839329,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/4/19,10634,S,EBERHART,AVE,49,490902,9
100839330,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,9/4/19,2608,N,NEW ENGLAND,AVE,18,831600,36
100839339,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,9/4/19,5760,N,ROGERS,AVE,12,120300,39
100839340,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/4/19,4042,N,NARRAGANSETT,AVE,17,170100,38
100839342,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/4/19,1430,N,BELL,AVE,24,241200,1
100839343,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/4/19,701,S,WELLS,ST,32,839000,25
100839344,PERMIT - RENOVATION/ALTERATION,SELF CERT,9/11/19,1801,W,WARNER,AVE,5,50100,47
100839345,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/4/19,2910,N,LAWNDALE,AVE,21,210502,30
100839341,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,9/5/19,8701,S,HOUSTON,AVE,46,460700,10
100839347,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,9/9/19,2221,S,KEELER,AVE,29,843400,22
100839348,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/5/19,231,S,LA SALLE,ST,32,839100,42
100839354,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/5/19,1030,N,STATE,ST,8,81100,2
100839350,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/5/19,4428,W,WILCOX,ST,26,260500,28
100839351,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,3228,S,INDIANA,AVE,35,842000,3
100839353,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/5/19,8241,S,ESSEX,AVE,46,460400,7
100839356,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/7/19,5060,W,FULTON,ST,25,251800,28
100839357,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,1423,W,CATALPA,AVE,77,30800,48
100839359,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/5/19,6315,S,CALIFORNIA,AVE,66,660600,17
100839361,PERMIT - SCAFFOLDING,EASY PERMIT,9/5/19,2440,N,LAKEVIEW,AVE,7,70101,43
100839363,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/5/19,4550,N,RICHMOND,ST,14,140800,33
100839364,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,1425,W,CATALPA,AVE,77,30800,48
100839365,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/5/19,6155,N,NORTHWEST,HWY,10,100200,41
100839366,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,4907,W,PATTERSON,AVE,15,150800,30
100839367,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,1425,W,GREGORY,ST,77,30800,48
100839368,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,3470,N,LAKE SHORE,DR,6,61902,44
100839369,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,9/6/19,301,S,COLUMBUS,DR,32,320400,42
100839371,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,6312,N,FRANCISCO,AVE,2,20702,50
100839372,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,5201,W,IRVING PARK,RD,15,150700,45
100839376,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,1847,N,ORLEANS,ST,7,71500,43
100839378,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/5/19,4064,N,MOODY,AVE,15,150502,38
100839379,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/5/19,5505,N,CUMBERLAND,AVE,10,100500,41
100839380,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,3652,W,62ND,ST,65,650100,23
100839381,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,712,W,BRIAR,PL,6,63100,44
100839382,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/5/19,1647,S,CENTRAL PARK,AVE,29,292200,24
100839383,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/5/19,3523,W,79TH,PL,70,700401,18
100839384,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,4911,W,CORTEZ,ST,25,251100,37
100839385,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,1445,N,MOHAWK,ST,8,80400,2
100839386,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,108,W,GERMANIA,PL,8,80201,2
100839387,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,9/5/19,3632,N,BOSWORTH,AVE,6,60400,44
100839388,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,11601,W,TOUHY,AVE,76,,41
100839391,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,5604,S,KOSTNER,AVE,62,620300,13
100839392,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/11/19,141,W,JACKSON,BLVD,32,839100,42
100839393,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/8/19,9036,S,BISHOP,ST,73,730201,21
100839395,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,657,E,87TH,PL,44,440700,6
100839397,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,5101,W,IRVING PARK,RD,15,150800,45
100839398,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/5/19,3250,N,PULASKI,RD,16,161300,30
100839405,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,9/5/19,353,N,CLARK,ST,8,81700,42
100839406,PERMIT - ELEVATOR EQUIPMENT,CONVEYANCE DEVICE PERMIT,9/5/19,4814,N,LOWELL,AVE,14,140400,39
100839407,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,9/5/19,10801,S,CAMPBELL,AVE,75,750300,19
100839408,PERMIT - ELEVATOR EQUIPMENT,CONVEYANCE DEVICE PERMIT,9/5/19,4814,N,LOWELL,AVE,14,140400,39
100839409,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,11141,S,UNION,AVE,49,491200,34
100839410,PERMIT - SIGNS,SIGN PERMIT,11/8/19,5615,W,MONTROSE,AVE,15,150402,38
100839414,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,25,W,108TH,PL,49,491000,34
100839415,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/5/19,5251,W,ADDISON,ST,15,151100,30
100839416,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,3410,W,24TH,ST,30,300700,22
100839420,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,9/5/19,4726,W,JACKSON,BLVD,25,252202,28
100839421,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/5/19,5321,W,GRACE,ST,15,150700,38
100839453,PERMIT - RENOVATION/ALTERATION,SELF CERT,9/11/19,1769,W,OLIVE,AVE,77,30400,40
100839424,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,6237,S,HONORE,ST,67,670600,15
100839426,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/5/19,2510,W,LEXINGTON,ST,28,282700,28
100839427,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,9/5/19,8249,S,KIMBARK,AVE,45,834300,8
100839428,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,6857,S,WABASH,AVE,69,690400,6
100839430,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,5351,W,IOWA,ST,25,251200,37
100839431,PERMIT - ELEVATOR EQUIPMENT,CONVEYANCE DEVICE PERMIT,9/5/19,6835,S,NORMAL,BLVD,68,681200,6
100839432,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,9/5/19,3440,S,PAULINA,ST,59,840400,12
100839433,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/5/19,1913,W,CHICAGO,AVE,24,243100,1
100839434,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/11/19,5011,W,DEMING,PL,19,190800,31
100839435,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,4322,N,KENMORE,AVE,3,830700,46
100839436,PERMIT - ELEVATOR EQUIPMENT,CONVEYANCE DEVICE PERMIT,9/5/19,4025,W,PETERSON,AVE,13,130200,39
100839439,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/5/19,3427,N,HOYNE,AVE,5,50800,32
100839441,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,9/5/19,1549,W,TOUHY,AVE,1,10600,49
100839442,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,5728,N,RICHMOND,ST,2,20701,40
100839443,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,58,E,100TH,ST,49,490800,9
100839444,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/6/19,4501,S,PULASKI,RD,57,570100,14
100839447,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,9/5/19,2204,N,CLARK,ST,7,71400,43
100839448,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,5807,N,WINTHROP,AVE,77,30601,48
