,census_tract,MHI_2016
635,7003.01,"54,359"
636,7003.02,"67,017"
637,7004.01,"70,018"
638,7004.02,"67,202"
639,7005.01,"67,665"
640,7005.02,"92,778"
641,7101,"14,622"
642,7102,"26,180"
643,7103,"24,806"
644,7104,"32,961"
645,7105,"27,864"
646,7106,"24,045"
647,7107,"22,250"
648,7108,"36,130"
649,7109,"19,561"
650,7110,"31,330"
651,7111,"36,172"
652,7112,"39,005"
653,7113,"32,788"
654,7114,"35,573"
655,7115,"35,991"
656,7201,"100,375"
657,7202,"67,963"
658,7203,"119,604"
659,7204,"90,721"
660,7205,"105,000"
661,7206,"105,897"
662,7207,"61,696"
663,7301,"49,688"
664,7302.01,"31,867"
665,7302.02,"53,487"
666,7303,"42,734"
667,7304,"56,061"
668,7305,"51,681"
669,7306,"41,607"
670,7307,"47,656"
671,7401,"89,185"
672,7402,"94,535"
673,7403,"101,094"
674,7404,"80,020"
675,7501,"37,264"
676,7502,"63,897"
677,7503,"87,266"
678,7504,"90,982"
679,7505,"50,913"
680,7506,"40,125"
681,7608.01,"49,517"
682,7608.02,"55,919"
683,7608.03,"42,304"
684,7702.01,"60,114"
685,7702.02,"51,996"
686,7703,"66,122"
687,7704,"61,333"
688,7705,"43,872"
689,7706.01,"64,883"
690,7706.02,"57,692"
691,7707,"48,750"
692,7708,"60,263"
693,7709.01,"62,102"
694,7709.02,"55,417"
695,8001,"234,107"
696,8002,"174,429"
697,8003,"171,964"
698,8004,"240,000"
699,8005,"204,911"
700,8006,"237,250"
701,8007,"180,069"
702,8008,"91,750"
703,8009,"115,086"
704,8010,"106,042"
705,8011,"153,702"
706,8012,"175,298"
707,8013,"157,813"
708,8014,"120,476"
709,8015,"100,618"
710,8016.01,"105,250"
711,8016.03,"41,612"
712,8016.05,"122,013"
713,8016.06,"121,016"
714,8016.07,"96,858"
715,8016.08,"108,266"
716,8017.01,"150,509"
717,8017.02,"118,380"
718,8018,"126,250"
719,8019.01,"83,686"
720,8019.02,"142,750"
721,8020.02,"93,824"
722,8020.03,"90,000"
723,8020.04,"44,175"
724,8021,"145,781"
725,8022,"105,184"
726,8023,"101,106"
727,8024.02,"61,991"
728,8024.03,"64,750"
729,8024.04,"45,718"
730,8025.03,"75,231"
731,8025.04,"78,844"
732,8025.05,"48,021"
733,8025.06,"55,972"
734,8026.05,"81,912"
735,8026.07,"100,781"
736,8026.08,"56,905"
737,8026.09,"53,349"
738,8026.10,"83,889"
739,8027.01,"82,500"
740,8027.02,"75,406"
741,8028.01,"80,769"
742,8028.02,"93,241"
743,8029,"103,491"
744,8030.05,"75,066"
745,8030.07,"103,299"
746,8030.08,"97,586"
747,8030.10,"99,135"
748,8030.12,"72,143"
749,8030.13,"81,603"
750,8030.14,"57,183"
751,8030.15,"72,772"
752,8030.16,"89,023"
753,8030.17,"82,068"
754,8031,"107,500"
755,8032,"69,269"
756,8033,"77,426"
757,8034,"101,992"
758,8035,"91,429"
759,8036.03,"125,268"
760,8036.04,"71,440"
761,8036.05,"89,886"
762,8036.06,"50,726"
763,8036.07,"104,484"
764,8036.08,"72,725"
765,8036.10,"72,566"
766,8036.11,"49,116"
767,8036.12,"49,518"
768,8037.01,"75,938"
769,8037.02,"82,049"
770,8038,"86,677"
771,8039.01,"63,264"
772,8039.02,"84,931"
773,8040,"61,850"
774,8041.02,"130,398"
775,8041.04,"106,484"
776,8041.05,"116,867"
777,8041.06,"88,274"
778,8041.08,"81,270"
779,8041.09,"87,120"
780,8042.01,"152,561"
781,8042.02,"123,848"
782,8043.05,"79,038"
783,8043.06,"61,744"
784,8043.08,"69,741"
785,8043.09,"73,650"
786,8043.10,"94,240"
787,8043.11,"99,267"
788,8044.03,"65,972"
789,8044.04,"75,854"
790,8044.05,"48,011"
791,8044.06,"54,313"
792,8045.05,"72,565"
793,8045.06,"80,987"
794,8045.07,"94,538"
795,8045.08,"65,357"
796,8045.09,"66,865"
797,8045.10,"54,543"
798,8045.11,"55,523"
799,8046.03,"59,978"
800,8046.06,"99,605"
801,8046.07,"99,545"
802,8046.08,"76,181"
803,8046.09,"94,387"
804,8046.10,"69,457"
805,8046.11,"81,292"
806,8047.01,"57,566"
807,8047.05,"67,740"
808,8047.06,"108,438"
809,8047.09,"58,026"
810,8047.10,"69,948"
811,8047.11,"70,044"
812,8047.12,"92,609"
813,8047.13,"84,444"
814,8047.14,"80,794"
815,8047.15,"61,786"
816,8047.16,"87,375"
817,8048.03,"81,970"
818,8048.04,"72,676"
819,8048.05,"78,869"
820,8048.06,"63,068"
821,8048.07,"65,043"
822,8048.08,"89,115"
823,8048.09,"102,708"
824,8048.10,"74,808"
825,8049.01,"81,194"
826,8049.02,"80,461"
827,8050.01,"89,702"
828,8050.02,"51,706"
829,8051.05,"55,972"
830,8051.06,"72,117"
831,8051.07,"46,764"
832,8051.08,"51,335"
833,8051.09,"77,059"
834,8051.10,"63,704"
835,8051.11,"54,631"
836,8051.12,"55,726"
837,8052.01,"99,083"
838,8052.02,"85,375"
839,8053.01,"61,825"
840,8053.02,"78,359"
841,8054.01,"75,551"
842,8054.02,"58,689"
843,8055.01,"95,179"
844,8055.02,"109,810"
845,8056,"114,250"
846,8057.01,"88,036"
847,8057.02,"101,786"
848,8058.01,"80,903"
849,8058.02,"83,529"
850,8059.01,"78,162"
851,8059.02,"95,368"
852,8060.01,"48,424"
853,8060.02,"56,975"
854,8060.03,"53,769"
855,8060.04,"45,434"
856,8061.02,"83,882"
857,8061.03,"83,061"
858,8061.04,"41,051"
859,8062.01,"50,250"
860,8062.02,"48,107"
861,8063,"70,884"
862,8064,"62,750"
863,8065.01,"53,583"
864,8065.02,"62,297"
865,8066,"75,865"
866,8067,"101,202"
867,8068.01,"56,282"
868,8068.02,"74,554"
869,8069,"62,302"
870,8070,"49,336"
871,8071,"120,278"
872,8072,"82,813"
873,8073,"60,139"
874,8074,"50,997"
875,8075,"104,924"
876,8076,"64,493"
877,8077,"51,699"
878,8078,"92,500"
879,8079,"107,917"
880,8080.01,"99,250"
881,8080.02,"82,279"
882,8081,"41,484"
883,8082,"66,229"
884,8083.01,"71,152"
885,8083.02,"65,200"
886,8084,"77,917"
887,8085,"84,688"
888,8086,"143,194"
889,8087.02,"61,806"
890,8088,"117,163"
891,8089,"119,750"
892,8090,"124,375"
893,8091,"94,706"
894,8092,"49,268"
895,8093,"30,532"
896,8094,"46,988"
897,8095,"62,132"
898,8096,"68,460"
899,8097,"76,429"
900,8098,"63,472"
901,8099,"109,044"
902,8100,"76,189"
903,8101,"65,096"
904,8102,"52,237"
905,8103.01,"71,736"
906,8103.02,"72,401"
907,8104,"93,105"
908,8105.01,"69,702"
909,8105.02,"49,693"
910,8106,"49,661"
911,8107.01,"40,813"
912,8107.02,"44,420"
913,8108,"64,778"
914,8109,"47,868"
915,8110,"77,134"
916,8111,"42,125"
917,8112,"60,277"
918,8113.01,"68,068"
919,8113.02,"35,500"
920,8114.01,"54,698"
921,8114.02,"55,067"
922,8115,"70,595"
923,8116,"44,678"
924,8117.01,"51,389"
925,8117.02,"50,188"
926,8118,"74,364"
927,8119,"100,313"
928,8120,"105,608"
929,8121,"101,739"
930,8122,"201,364"
931,8123.01,"71,077"
932,8123.02,"132,688"
933,8124,"175,909"
934,8125,"51,853"
935,8126,"55,398"
936,8127,"63,900"
937,8128.01,"49,415"
938,8128.02,"54,458"
939,8129,"90,337"
940,8130,"91,417"
941,8131,"86,589"
942,8132,"113,311"
943,8133.01,"32,027"
944,8133.02,"40,268"
945,8134,"43,021"
946,8135,"45,433"
947,8136,"44,778"
948,8137.01,"34,835"
949,8137.02,"35,810"
950,8138.01,"48,479"
951,8138.02,"39,139"
952,8139,"40,308"
953,8140,"44,071"
954,8141,"40,201"
955,8142,"38,163"
956,8143,"36,250"
957,8144,"47,943"
958,8145,"62,010"
959,8146,"51,512"
960,8147,"75,000"
961,8148,"66,572"
962,8149,"49,375"
963,8150,"46,232"
964,8151,"61,715"
965,8152,"58,750"
966,8153,"62,875"
967,8154,"67,827"
968,8155,"67,664"
969,8156,"60,719"
970,8157.01,"115,417"
971,8157.02,"79,292"
972,8158,"82,692"
973,8159,"44,788"
974,8160,"59,429"
975,8161,"54,326"
976,8162,"53,897"
977,8163,"58,892"
978,8164.01,"46,172"
979,8164.02,"42,929"
980,8165,"39,212"
981,8166,"40,083"
982,8167,"49,792"
983,8168,"61,745"
984,8169,"55,417"
985,8170,"55,078"
986,8171.01,"44,781"
987,8171.02,"53,227"
988,8172,"39,965"
989,8173,"28,508"
990,8174,"53,668"
991,8175,"22,261"
992,8176,"50,781"
993,8177,"55,286"
994,8179,"47,031"
995,8180,"53,563"
996,8181,"68,088"
997,8182,"69,313"
998,8183,"50,142"
999,8184.01,"71,510"
1000,8184.02,"60,671"
1001,8185,"76,959"
1002,8186,"79,815"
1003,8187,"83,315"
1004,8188,"72,386"
1005,8189,"75,089"
1006,8190,"120,927"
1007,8191,"44,455"
1008,8192,"48,450"
1009,8193,"73,214"
1010,8194,"75,342"
1011,8195,"73,500"
1012,8196,"134,115"
1013,8197,"163,214"
1014,8198.01,"160,500"
1015,8198.02,"121,750"
1016,8199,"152,209"
1017,8200,"180,089"
1018,8201.01,"92,390"
1019,8201.03,"53,963"
1020,8201.04,"60,147"
1021,8202.01,"92,386"
1022,8202.02,"50,438"
1023,8203,"48,917"
1024,8204,"45,901"
1025,8205.01,"62,019"
1026,8205.02,"54,740"
1027,8206.03,"50,411"
1028,8206.04,"38,961"
1029,8206.05,"44,083"
1030,8206.06,"65,441"
1031,8207,"60,910"
1032,8208,"66,250"
1033,8209.01,"44,293"
1034,8209.02,"53,384"
1035,8210.01,"56,944"
1036,8210.02,"51,444"
1037,8211.01,"66,745"
1038,8211.02,"62,634"
1039,8212,"37,941"
1040,8213,"40,099"
1041,8214.01,"40,303"
1042,8214.02,"47,500"
1043,8215,"37,885"
1044,8216,"62,217"
1045,8217,"79,702"
1046,8218,"65,724"
1047,8219,"57,458"
1048,8220,"42,383"
1049,8221.01,"55,933"
1050,8221.02,"42,320"
1051,8222,"78,207"
1052,8223.01,"61,397"
1053,8223.02,"58,708"
1054,8224,"39,534"
1055,8225,"71,202"
1056,8226.01,"67,398"
1057,8226.02,"60,221"
1058,8227.01,"48,109"
1059,8227.02,"43,773"
1060,8228.01,"53,068"
1061,8228.02,"68,516"
