zipcode,male_2019,white_2019,median_age_2019
61610,0.48,0.96,36.20
61611,0.51,0.95,44.00
61614,0.47,0.77,40.50
61615,0.48,0.72,37.90
61616,0.46,0.90,37.90
61625,0.51,0.82,20.20
61701,0.50,0.80,33.40
61704,0.50,0.76,36.10
61705,0.48,0.88,37.80
61720,0.49,0.98,29.80
61721,0.51,0.97,45.40
61722,0.47,0.99,38.50
61723,0.50,0.96,42.10
61724,0.51,0.96,46.90
61725,0.57,0.93,35.60
61726,0.49,0.95,41.90
61727,0.50,0.96,40.80
61728,0.43,0.96,38.40
61729,0.50,0.97,35.60
61730,0.58,0.98,28.00
61731,0.50,1.00,38.10
61732,0.49,0.97,40.00
61733,0.49,0.94,39.70
61734,0.48,0.98,43.90
61735,0.52,0.93,40.70
61736,0.49,0.97,39.10
61737,0.50,0.98,42.80
61738,0.52,0.97,38.90
61739,0.47,0.96,39.80
61740,0.46,0.95,48.30
61741,0.49,0.96,35.00
61742,0.52,1.00,44.30
61743,0.52,0.93,40.00
61744,0.47,0.95,34.30
61745,0.49,0.94,38.20
61747,0.47,0.99,46.40
61748,0.48,0.98,40.10
61749,0.49,0.99,47.90
61750,0.65,0.87,25.60
61751,0.46,1.00,49.30
61752,0.49,1.00,43.50
61753,0.49,0.98,42.10
61754,0.47,0.99,51.00
61755,0.50,0.98,41.40
61756,0.53,0.94,42.70
61759,0.52,0.99,45.00
61760,0.48,0.99,42.00
61761,0.47,0.82,24.70
61764,0.54,0.87,41.00
61769,0.51,0.87,45.40
61770,0.46,0.98,44.30
61771,0.50,0.98,38.00
61772,0.50,1.00,54.80
61773,0.52,0.99,44.10
61774,0.61,0.98,34.00
61775,0.50,0.99,40.50
61776,0.50,0.96,49.30
61777,0.47,0.95,48.30
61778,0.44,1.00,35.00
61801,0.51,0.58,23.80
61802,0.47,0.72,38.20
61810,0.45,0.94,39.90
61811,0.47,0.94,43.10
61812,0.49,0.90,52.50
61813,0.48,0.96,44.60
61814,0.47,0.95,43.40
61815,0.60,0.97,50.00
61816,0.48,0.99,46.30
61817,0.50,0.99,43.20
61818,0.50,0.99,36.00
61820,0.54,0.66,22.40
61821,0.49,0.65,35.20
61822,0.50,0.67,38.90
