Inspection ID,DBA Name,AKA Name,License #,Address,Zip,Inspection Date,Latitude,Longitude,Location
2229252,MANCHU WOK,MANCHU WOK (T1 C18 FOOD COURT),1909523,11601 W TOUHY AVE ,60666,10/2/2018,42.0085364,-87.91442844,"(-87.91442843927047, 42.008536400868735)"
2229307,NEW ARCHVIEW RESTAURANT INC,NEW ARCHVIEW RESTAURANT INC,1726,3480 S ARCHER AVE ,60608,10/3/2018,41.83069228,-87.67740468,"(-87.67740468176112, 41.83069228369247)"
2229555,MCDONALD'S,MCDONALD'S,2328103,600 N CLARK ST ,60654,10/11/2018,41.89246403,-87.63129489,"(-87.631294885907, 41.89246403299273)"
2214166,LIGHTHOUSE CLARK LLC,LIGHTHOUSE CLARK,2583657,2026 S CLARK ST ,60616,9/11/2018,41.8545508,-87.63028972,"(-87.63028971636605, 41.8545508013415)"
2200746,SAMMY'S HALAL BURGER INC.,SAMMY'S HALAL BURGER INC.,2616987,1241 N CLYBOURN AVE ,60610,8/10/2018,41.90470532,-87.64065915,"(-87.64065915465589, 41.90470531946775)"
2213976,YOGURTLAND LINCOLN PARK,SWEET FROYO & CANDY,2232892,2468 N CLARK ST ,60614,9/6/2018,41.92723611,-87.64162904,"(-87.64162904370876, 41.92723611438838)"
2229532,POPS FOR CHAMPAGNE,POPS FOR CHAMPAGNE,1620705,601-605 N STATE ST ,60654,10/10/2018,41.89251729,-87.62794972,"(-87.62794971765776, 41.89251729286969)"
2229329,VERNON PARK TAP,VERNON PARK TAP/TUFANO'S,1145420,1073 W VERNON PARK PL ,60607,10/3/2018,41.87290437,-87.65403304,"(-87.65403303613473, 41.872904374521134)"
2229281,SALAD WORKS,SALAD WORKS (T1 C18 FOOD COURT),1909532,11601 W TOUHY AVE ,60666,10/2/2018,42.0085364,-87.91442844,"(-87.91442843927047, 42.008536400868735)"
2229588,GOOSE ISLAND,GOOSE ISLAND (T1  C10),34159,11601 W TOUHY AVE ,60666,10/11/2018,42.0085364,-87.91442844,"(-87.91442843927047, 42.008536400868735)"
