GEOID,unemployment_2017
17031816600,7.1
17031816700,6.8
17031816800,5.1
17031816900,9.7
17031817000,8.2
17031817101,16.5
17031817102,12.8
17031817200,18.9
17031817300,17.2
17031817400,8.3
17031817500,12.2
17031817600,15.1
17031817700,12.2
17031817900,16.7
17031818000,12.9
17031818100,9
17031818200,4.5
17031818300,10.3
17031818401,4.1
17031818402,2.9
17031818500,4.7
17031818600,9.7
17031818700,8.6
17031818800,6
17031818900,3.7
17031819000,2.1
17031819100,6.9
17031819200,4.3
17031819300,1.1
17031819400,2.4
17031819500,3.1
17031819600,6.1
17031819700,4.4
17031819801,4.8
17031819802,1.5
17031819900,1.8
17031820000,7.9
17031820101,4.2
17031820103,7.1
17031820104,3.6
17031820201,2.7
17031820202,6.2
17031820300,6.7
17031820400,13.2
17031820501,5.7
17031820502,4.1
17031820603,8.1
17031820604,12
17031820605,13.5
17031820606,6.3
17031820700,2.6
17031820800,14.7
17031820901,9.3
17031820902,7.5
17031821001,9.4
17031821002,6.6
17031821101,7.5
17031821102,10.5
17031821200,11.2
17031821300,12.3
17031821401,19.6
17031821402,16.7
17031821500,19.3
17031821600,6.2
17031821700,2.5
17031821800,7.6
17031821900,5.6
17031822000,4.6
17031822101,5.8
17031822102,6.4
17031822200,8.9
17031822301,8
17031822302,9.5
17031822400,5.6
17031822500,7.5
17031822601,3.1
17031822602,12.6
17031822701,5.5
17031822702,9
17031822801,3.8
17031822802,8.5
17031822900,16.1
17031823001,8.6
17031823002,6
17031823101,10.4
17031823102,3.9
17031823200,9.7
17031823302,9.9
17031823303,9.3
17031823304,14
17031823400,10.4
17031823500,15.1
17031823602,6
17031823603,15.7
17031823604,6
17031823605,9.3
17031823702,6.4
17031823703,9.2
17031823704,5.5
17031823705,11.6
17031823801,5.7
17031823803,6.8
17031823805,3.9
17031823806,6.8
17031823901,4.2
17031823903,6.1
17031823904,6.1
17031824003,4.1
17031824004,7.1
17031824005,5
17031824006,6.1
17031824105,3.6
17031824106,4.7
17031824107,7.1
17031824108,8.4
17031824113,6.6
17031824114,6.2
17031824115,2.1
17031824116,5.5
17031824117,2.5
17031824119,4.3
17031824120,6.4
17031824121,5.6
17031824122,4.7
17031824123,5
17031824300,16.5
17031824400,10.2
17031824503,6.8
17031824505,4.2
17031824506,4.1
17031824507,7.9
17031824601,4.9
17031824602,7
17031824701,12.3
17031824702,8.3
17031824800,21.5
17031824900,18.3
17031825000,10
17031825200,5.9
17031825302,7.7
17031825303,6.5
17031825304,2.8
17031825400,5.9
17031825501,15.1
17031825503,8.5
17031825504,23.1
17031825505,17
17031825600,10
17031825700,19.5
17031825801,24.2
17031825802,20.6
17031825803,9.6
17031825900,18.6
17031826000,9
17031826100,20
17031826201,16.1
17031826202,20.2
17031826301,20.1
17031826303,26.8
17031826304,28.6
17031826401,22.7
17031826402,16.4
17031826500,24.1
17031826600,22.5
17031826700,15.7
17031826800,12.7
17031826901,16.2
17031826902,43.3
17031827000,15
17031827100,12.4
17031827200,13.6
17031827300,11.7
17031827400,21.1
17031827500,18.4
17031827600,16.4
17031827700,15.2
17031827801,17.4
17031827802,9.6
17031827804,14
17031827805,11.8
17031827901,12.2
17031827902,14.1
17031828000,10.4
17031828100,11.8
17031828201,12.5
17031828202,13.4
17031828300,9
17031828401,4
17031828402,12.3
17031828503,18
17031828504,21.8
17031828505,15.8
17031828506,13.6
17031828601,4.7
17031828602,6
17031828701,16.5
17031828702,20.7
17031828801,8.9
17031828802,11.8
17031828900,15.6
17031829000,21
17031829100,20.2
17031829200,6.2
17031829301,11.5
17031829302,17.9
17031829401,29.9
17031829402,7.4
17031829500,15.3
17031829600,6.9
17031829700,26.4
17031829800,6.9
17031829901,14.4
17031829902,20.6
17031830001,6.7
17031830003,19.1
17031830004,11.6
17031830005,8.7
17031830006,6.3
17031830007,24.7
17031830008,12
17031830100,15
17031830201,16.2
17031830202,7.5
17031830300,21.6
17031830400,9.5
17031830500,9.1
17031830600,6.4
17031830700,7.1
17031830800,6.7
17031830900,1.1
17031831000,2.6
17031831100,5.1
17031831200,7.6
17031831300,12.9
17031831400,11.1
17031831500,7.3
17031831600,8.9
17031831700,12
17031831800,5.8
17031831900,1.6
17031832000,3.3
17031832100,5.1
17031832200,2
17031832300,1.7
17031832400,3.9
17031832500,7.3
17031832600,1.8
17031832900,10.5
17031833000,5.5
17031833100,2.3
17031833300,8
17031833900,19.6
17031834000,18.7
17031834200,15.3
17031834300,18.1
17031834400,13.2
17031834500,28.1
17031834600,36.9
17031834700,28.8
17031834800,37.2
17031834900,29.2
17031835000,24.4
17031835100,22.2
17031835200,10.3
17031835500,26.1
17031835600,38.6
17031835700,92.8
17031835800,22.5
17031835900,27.6
17031836000,20.3
17031836100,21.8
17031836200,11.6
17031836300,8.6
17031836400,17.1
17031836500,32.1
17031836600,5
17031836700,12.2
17031836800,20.9
17031836900,22.5
17031837000,16.5
17031837100,21.3
17031837300,11
17031837400,23
17031837800,15.4
17031838000,15.9
17031838100,21.7
17031838200,6.6
17031838300,7.6
17031838600,19
17031838700,25.8
17031838800,24.1
17031839000,3.2
17031839100,5.7
17031839200,8.8
17031839500,1.5
17031839600,10.8
17031839700,7.1
17031839800,3.8
17031839900,6.1
17031840000,8.3
17031840100,9.3
17031840200,10.3
17031840300,12.8
17031840400,11.6
17031840700,10.9
17031840800,6.3
17031841000,5.1
17031841100,9.3
17031841200,7.9
17031841300,5.8
17031841400,14
17031841500,20.4
17031841600,12.6
17031841700,15.4
17031841800,25.7
17031841900,9.8
17031842000,4.3
17031842100,14.1
17031842200,1.5
17031842300,5.2
17031842400,23.9
17031842500,38.6
17031842600,13
17031842800,10.9
17031842900,7.6
17031843000,16.1
17031843100,7.7
17031843200,8.5
17031843300,15.1
17031843400,10.5
17031843500,7.5
17031843600,24.7
17031843700,4.2
17031843800,18.6
17031843900,9.2
17031980000,-
17031980100,-
17031990000,-
